Concurso;Local;Data do Sorteio;Coluna 1;Coluna 2;Coluna 3;Coluna 4;Coluna 5;Coluna 6;Ganhadores Faixa 1;Ganhadores Faixa 2;Ganhadores Faixa 3;Rateio Faixa 1;Rateio Faixa 2;Rateio Faixa 3;Cidade;;Valor Arrecadado;Estimativa para o próximo concurso;Valor Acumulado Próximo Concurso;Acumulado;Sorteio Especial;Observação
128;;15/08/1998;3;9;18;21;23;43;0;973;11715;0;1024,41;84,91;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
129;BrasÃ­lia, DF;22/08/1998;1;9;10;32;46;54;0;67;5320;0;15634,41;196,51;;;0;0;0;SIM;SIM;A MEGA-SENA EST- BIG ACUMULADA ! ! !
;;;;;;;;;;;;;;;;;;;;;;
130;;29/08/1998;13;29;38;42;49;53;0;155;11403;0;11796,24;160,03;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
131;;05/09/1998;4;9;17;27;30;44;0;361;21683;0;6811,67;113,19;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
132;;12/09/1998;7;9;35;41;44;50;0;143;12179;0;20846,64;244,29;;;0;0;0;SIM;SIM;A MEGA CONTINUA ACUMULADA - PrevisÃ£o de PrÃªmio para o Conc.133 = 29.000.000,00
;;;;;;;;;;;;;;;;;;;;;;
133;;19/09/1998;5;6;19;34;39;57;1;431;29264;30533241,12;10035,16;147,51;;;0;0;0;NAO;SIM;ESTADO CONTEMPLADO COM SENA: 01 MINAS GERAIS.
;;;;;;;;;;;;;;;;;;;;;;
134;;26/09/1998;4;25;32;36;52;60;0;82;4575;0;10253,38;183,42;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
135;;03/10/1998;21;22;35;40;53;59;0;40;3604;0;24573,18;272,19;;;0;0;0;SIM;SIM;A MEGA-SENA ESTÃ ACUMULADA ! ! !
;;;;;;;;;;;;;;;;;;;;;;
136;;10/10/1998;1;17;25;38;45;59;0;126;7403;0;8435,36;143,29;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
137;;17/10/1998;15;16;19;22;26;49;0;88;6701;0;12675,49;166,13;;;0;0;0;SIM;SIM;A MEGA-SENA ESTÃ ACUMULADA ! ! !
;;;;;;;;;;;;;;;;;;;;;;
138;;24/10/1998;5;14;27;37;40;41;0;86;6953;0;14074,36;173,74;;;0;0;0;SIM;SIM;
;;;;;;;;;;;;;;;;;;;;;;
